Aircraft;Component;System;Date;Reason;Time Hours; Time Cycles
131;MME_Component_B;System2;13/08/2007;3;4359;503
131;MME_Component_B;System2;14/08/2007;3;20;2
131;MME_Component_A;System2;15/09/2007;3;122270;16271
131;MME_Component_A;System2;20/09/2007;3;59;6
131;MME_Component_K;001A;24/09/2007;3;3551;423
131;MME_Component_B;System2;27/09/2007;3;539;59
131;MME_Component_B;System2;29/09/2007;3;35;4
131;MME_Component_B;System2;03/10/2007;3;60;7
131;MME_Component_A;System3;06/10/2007;3;122507;16297
131;MME_Component_B;System3;06/10/2007;3;122507;16297
131;MME_Component_L; ;06/10/2007;3;29972;3688
131;MME_Component_B;System3;20/10/2007;3;1233;135
131;MME_Component_G;System2;25/11/2007;3;20011;2178
131;MME_Component_G;System2;07/12/2007;3;177;21
131;MME_Component_B;System3;21/12/2007;3;837;98
131;MME_Component_G;System1;12/01/2008;3;2399;271
131;MME_Component_B;System3;07/04/2008;3;2088;242
131;MME_Component_G;System1;02/05/2008;3;1421;178
131;MME_Component_H; ;18/06/2008;3;27744;3370
131;MME_Component_D; ;13/08/2008;3;126586;16787
131;MME_Component_D; ;13/08/2008;3;41671;5121
131;MME_Component_I; ;08/09/2008;3;126924;16826
131;MME_Component_I; ;20/09/2008;3;9579;1137
131;MME_Component_B;System2;23/09/2008;3;1235;143
131;MME_Component_J; ;18/11/2008;3;28563;3448
131;MME_Component_I; ;18/11/2008;3;127791;16924
131;MME_Component_I; ;18/11/2008;3;867;98
131;MME_Component_G;System2;25/12/2008;3;4917;583
131;MME_Component_A;System4;06/01/2009;3;128388;16992
131;MME_Component_E; ;06/01/2009;3;45223;5547
131;MME_Component_J; ;06/01/2009;3;45223;5547
131;MME_Component_D; ;06/01/2009;4;1802;205
131;MME_Component_A;System1;29/01/2009;3;128500;17004
131;MME_Component_E; ;10/02/2009;3;80530;10095
131;MME_Component_J; ;01/03/2009;3;8404;987
131;MME_Component_J; ;05/03/2009;3;30;4
131;MME_Component_D; ;05/03/2009;3;8464;995
131;MME_Component_A;System1;30/03/2009;3;11332;1327
326;MME_Component_B;System3;03/04/2006;3;1079;139
326;MME_Component_H; ;22/04/2006;3;3021;371
326;MME_Component_A;System3;18/06/2006;3;0;0
326;MME_Component_D; ;28/08/2006;3;123206;15834
326;MME_Component_D; ;28/08/2006;3;11621;1431
326;MME_Component_H; ;30/08/2006;3;123227;15836
326;MME_Component_H; ;30/08/2006;3;7722;946
326;MME_Component_I; ;14/09/2006;3;6419;786
326;MME_Component_I; ;21/03/2007;3;65568;7810
326;MME_Component_A;System4;09/04/2007;3;11906;1442
326;MME_Component_A;System1;09/04/2007;3;6601;779
326;MME_Component_B;System1;10/04/2007;3;6601;779
326;MME_Component_B;System1;20/04/2007;3;131;17
326;MME_Component_H; ;21/06/2007;3;9472;1151
326;MME_Component_D; ;14/10/2007;3;13095;1579
326;MME_Component_A;System3;15/10/2007;3;12576;1855
326;MME_Component_F;1;09/02/2008;3;13161;1577
326;MME_Component_F;4;16/02/2008;3;0;0
326;MME_Component_G;System3;28/03/2008;3;14658;2099
326;MME_Component_B;System3;28/03/2008;3;9466;1120
326;MME_Component_E; ;19/04/2008;3;80068;9533
326;MME_Component_B;System4;28/05/2008;3;7057;849
326;MME_Component_A;System3;06/08/2008;3;3701;436
326;MME_Component_A;System3;08/08/2008;3;43;5
326;MME_Component_N; ;21/09/2008;3;31272;3842
326;MME_Component_A;System4;03/10/2008;3;12591;1510
326;MME_Component_G;System3;05/10/2008;3;125;14
326;MME_Component_B;System4;11/12/2008;3;2595;296
326;MME_Component_D; ;08/05/2009;3;6747;789
326;MME_Component_D; ;14/05/2009;3;20468;2442
1990;MME_Component_B;System4;22/04/2006;3;792;82
1990;MME_Component_G;System1;05/05/2006;3;9621;1003
1990;MME_Component_J; ;23/07/2006;3;123858;15117
1990;MME_Component_J; ;23/07/2006;3;39028;4229
1990;MME_Component_D; ;24/07/2006;3;4086;426
1990;MME_Component_D; ;28/08/2006;3;4230;442
1990;MME_Component_H; ;29/08/2006;3;7076;739
1990;MME_Component_A;System2;01/09/2006;3;124385;15173
1990;MME_Component_A;System2;01/09/2006;3;4273;447
1990;MME_Component_D; ;30/09/2006;3;4264;450
1990;MME_Component_H; ;14/10/2006;3;710;80
1990;MME_Component_K;001A;10/12/2006;3;15844;1671
1990;MME_Component_D; ;06/01/2007;3;1718;185
1990;MME_Component_N; ;07/01/2007;3;74884;8234
1990;MME_Component_B; ;09/02/2007;3;126566;15406
1990;MME_Component_H; ;12/02/2007;3;126621;15412
1990;MME_Component_G;System3;23/02/2007;3;8204;865
1990;MME_Component_B;System3;23/02/2007;3;204;22
1990;MME_Component_H; ;24/02/2007;3;149;16
1990;MME_Component_N; ;24/02/2007;3;685;72
1990;MME_Component_H; ;03/03/2007;3;1793;188
1990;MME_Component_D; ;08/03/2007;3;854;90
1990;MME_Component_D; ;13/03/2007;3;11508;1215
1990;MME_Component_F;2;25/04/2007;3;9604;1009
1990;MME_Component_A;System2;26/04/2007;3;32081;3419
1990;MME_Component_D; ;26/04/2007;3;676;70
1990;MME_Component_H; ;26/04/2007;3;17671;1861
1990;MME_Component_D; ;04/05/2007;3;116;12
1990;MME_Component_J; ;06/05/2007;3;28379;3023
1990;MME_Component_D; ;06/05/2007;3;127752;15530
1990;MME_Component_D; ;11/05/2007;3;100;11
1990;MME_Component_B;System3;25/05/2007;3;1236;128
1990;MME_Component_D; ;29/05/2007;3;4207;445
1990;MME_Component_B;System3;02/09/2007;3;10733;1128
1990;MME_Component_E; ;28/10/2007;3;45324;4897
1990;MME_Component_J; ;29/10/2007;3;6296;668
1990;MME_Component_D; ;29/10/2007;3;130154;15785
1990;MME_Component_D; ;29/10/2007;3;2098;224
1990;MME_Component_B;System4;29/10/2007;3;11232;1401
1990;MME_Component_B; ;29/10/2007;3;130163;15786
1990;MME_Component_D; ;04/11/2007;3;5396;570
1990;MME_Component_E; ;13/11/2007;3;130333;15805
1990;MME_Component_B;System2;10/12/2007;3;2328;254
1990;MME_Component_B;System3;24/12/2007;3;2992;319
1990;MME_Component_L; ;31/08/2008;3;79535;8709
